country,year,fertility,gdp_capita,life_expectancy,population
Afghanistan,1950,7.57,2390,32.5,7750000
Albania,1950,5.87,1780,54.1,1260000
Algeria,1950,7.49,4640,47.3,8870000
Angola,1950,7.11,3180,35.2,4550000
Antigua and Barbuda,1950,4.45,3470,58.5,45500
Argentina,1950,3.16,8760,60.8,17000000
Armenia,1950,4.53,2010,58.5,1350000
Australia,1950,3.07,13500,69.2,8180000
Austria,1950,1.87,6430,65.0,6940000
Azerbaijan,1950,5.26,3730,55.2,2930000
Bahamas,1950,3.98,11100,58.8,79100
Bahrain,1950,7.03,16000,42.2,116000
Bangladesh,1950,6.23,1120,40.4,37900000
Barbados,1950,4.52,2710,59.1,211000
Belarus,1950,2.52,2860,64.4,7750000
Belgium,1950,2.31,8960,66.4,8640000
Belize,1950,6.69,2060,55.6,68900
Benin,1950,5.75,1330,35.5,2260000
Bhutan,1950,6.67,848,36.2,177000
Bolivia,1950,6.72,3180,42.7,3080000
Bosnia and Herzegovina,1950,5.23,1580,52.5,2660000
Botswana,1950,6.47,779,47.5,413000
Brazil,1950,6.18,2900,51.2,54000000
Brunei,1950,7.52,59800,53.7,48000
Bulgaria,1950,2.66,2870,61.4,7250000
Burkina Faso,1950,6.03,497,33.3,4280000
Burundi,1950,6.82,536,39.5,2310000
Cambodia,1950,6.95,472,42.3,4430000
Cameroon,1950,5.54,1500,41.1,4310000
Canada,1950,3.45,12300,68.3,13700000
Cape Verde,1950,6.5,1470,53.2,178000
Central African Republic,1950,5.4,1300,35.9,1330000
Chad,1950,6.06,997,41.0,2500000
Chile,1950,4.82,5130,55.1,6600000
China,1950,5.29,637,41.5,554000000
Colombia,1950,6.77,3410,51.6,12000000
Comoros,1950,5.69,719,42.1,159000
"Congo, Dem. Rep.",1950,5.99,1570,42.9,12200000
"Congo, Rep.",1950,5.67,1940,38.6,827000
Costa Rica,1950,6.15,3030,57.5,946000
Cote d'Ivoire,1950,6.62,2490,35.2,2630000
Croatia,1950,2.95,4080,60.2,3850000
Cuba,1950,4.76,3840,59.7,5920000
Cyprus,1950,3.85,3500,64.9,494000
Czech Republic,1950,2.89,7470,64.3,8900000
Denmark,1950,2.58,12500,70.2,4270000
Djibouti,1950,6.3,3190,46.6,62000
Dominican Republic,1950,7.51,2390,48.9,2360000
Ecuador,1950,6.7,3430,51.1,3470000
Egypt,1950,6.65,3220,37.6,20500000
El Salvador,1950,6.19,3290,45.2,2200000
Equatorial Guinea,1950,5.58,892,37.0,226000
Eritrea,1950,6.92,812,36.9,822000
Estonia,1950,2.09,4960,58.5,1100000
Eswatini,1950,6.71,921,42.6,273000
Ethiopia,1950,7.35,520,33.3,18100000
Fiji,1950,6.3,2510,55.8,289000
Finland,1950,3.16,6890,64.1,4010000
France,1950,2.83,8530,66.5,41800000
Gabon,1950,5.15,2630,39.6,473000
Gambia,1950,5.23,1150,39.5,305000
Georgia,1950,3.1,2620,57.9,3530000
Germany,1950,2.08,7840,67.0,70000000
Ghana,1950,6.37,1680,45.3,5040000
Greece,1950,2.36,3680,67.6,7670000
Grenada,1950,5.18,1580,56.7,76700
Guatemala,1950,7.2,3180,39.8,3110000
Guinea,1950,5.98,686,38.5,3010000
Guinea-Bissau,1950,7.09,610,35.9,535000
Guyana,1950,5.48,4060,58.9,407000
Haiti,1950,6.31,2480,35.5,3220000
Honduras,1950,7.47,2380,44.7,1550000
Hungary,1950,2.78,6030,62.0,9340000
Iceland,1950,3.62,7840,71.0,143000
India,1950,5.9,824,35.2,376000000
Indonesia,1950,5.35,1430,37.3,69500000
Iran,1950,6.92,4790,42.3,17100000
Iraq,1950,8.11,9540,35.9,5720000
Ireland,1950,3.48,6980,65.8,2910000
Israel,1950,4.52,4190,64.1,1260000
Italy,1950,2.45,6460,65.8,46600000
Jamaica,1950,3.8,2580,57.4,1400000
Japan,1950,3.48,3020,59.7,82800000
Jordan,1950,7.56,3420,45.6,481000
Kazakhstan,1950,4.3,6050,55.4,6700000
Kenya,1950,7.36,1500,45.5,6080000
Kiribati,1950,5.75,2030,45.1,33000
Kuwait,1950,7.22,4650,53.2,153000
Kyrgyz Republic,1950,4.23,2470,51.5,1740000
Lao,1950,5.94,812,37.2,1680000
Latvia,1950,2.01,4190,59.9,1930000
Lebanon,1950,5.76,7810,60.8,1330000
Lesotho,1950,5.81,389,45.5,705000
Liberia,1950,6.25,1000,37.7,930000
Libya,1950,7.16,2980,42.1,1120000
Lithuania,1950,2.78,6360,63.6,2570000
Luxembourg,1950,1.87,12300,65.8,296000
Madagascar,1950,7.3,1920,39.0,4080000
Malawi,1950,6.81,473,38.0,2950000
Malaysia,1950,6.27,2900,53.4,6110000
Maldives,1950,5.6,1520,30.7,73700
Mali,1950,6.65,607,31.2,4710000
Malta,1950,4.21,1590,65.3,312000
Mauritania,1950,6.12,1050,40.4,651000
Mauritius,1950,6.05,2720,47.0,493000
Mexico,1950,6.66,4180,49.0,27900000
"Micronesia, Fed. Sts.",1950,7.3,1160,52.7,32000
Moldova,1950,3.48,2710,56.9,2340000
Mongolia,1950,5.5,1840,41.3,780000
Montenegro,1950,4.32,4620,60.6,395000
Morocco,1950,6.49,2380,46.6,8990000
Mozambique,1950,6.77,345,35.2,5960000
Myanmar,1950,6.03,466,30.6,17800000
Namibia,1950,5.96,4130,43.9,514000
Nepal,1950,5.98,777,39.2,8480000
Netherlands,1950,3.1,10800,71.6,10000000
New Zealand,1950,3.47,13900,69.3,1910000
Nicaragua,1950,6.88,3720,43.1,1290000
Niger,1950,7.04,955,40.1,2560000
Nigeria,1950,6.36,1960,43.2,37900000
North Korea,1950,1.95,624,39.8,10500000
North Macedonia,1950,4.73,2540,54.6,1250000
Norway,1950,2.52,16400,71.4,3270000
Oman,1950,7.25,3470,33.6,456000
Pakistan,1950,6.6,1260,37.5,37500000
Palestine,1950,7.56,1180,50.4,932000
Panama,1950,5.68,2730,58.1,860000
Papua New Guinea,1950,6.23,945,37.5,2000000
Paraguay,1950,6.49,2560,65.6,1470000
Peru,1950,6.9,3890,39.6,7780000
Philippines,1950,6.76,2000,56.8,18600000
Poland,1950,3.6,4760,59.2,24800000
Portugal,1950,3.1,3610,58.6,8420000
Qatar,1950,6.97,1700,51.0,25000
Romania,1950,3.58,1600,61.3,16200000
Russia,1950,2.88,6820,57.3,103000000
Rwanda,1950,7.92,600,41.1,2190000
Samoa,1950,7.64,2980,52.7,82100
Sao Tome and Principe,1950,6.23,1400,47.3,60000
Saudi Arabia,1950,7.2,10700,48.1,3120000
Senegal,1950,6.6,1780,40.9,2490000
Serbia,1950,3.59,3540,58.6,6730000
Seychelles,1950,5.16,4380,58.6,36300
Sierra Leone,1950,5.89,914,35.3,2040000
Singapore,1950,6.49,4500,59.2,1020000
Slovak Republic,1950,3.59,6030,60.9,3440000
Slovenia,1950,2.8,3940,63.6,1470000
Solomon Islands,1950,6.4,941,44.6,89800
Somalia,1950,7.25,997,38.5,2260000
South Africa,1950,6.35,6020,46.9,13600000
South Korea,1950,4.46,1180,43.5,19200000
South Sudan,1950,6.68,1890,34.4,2480000
Spain,1950,2.45,4100,61.6,28100000
Sri Lanka,1950,5.86,1820,51.9,7970000
St. Lucia,1950,5.34,1910,52.9,82800
St. Vincent and the Grenadines,1950,7.26,2140,50.0,67000
Sudan,1950,6.68,1920,43.6,5730000
Suriname,1950,6.58,5150,54.7,215000
Sweden,1950,2.28,11400,71.1,7010000
Switzerland,1950,2.33,21100,69.1,4670000
Syria,1950,7.18,1780,50.4,3410000
Tajikistan,1950,5.5,2580,50.8,1530000
